t,Year,Height,Recharge,Normalized recharge plus return flow,Withdrawals,Benefit
2020,0,413,"445,859",-0.07384,471703.5949,618377475.9
2021,1,412.92616,"445,858",-0.07384,471702.1853,588217690
2022,2,412.85232,"445,858",-0.07384,471703.0138,559528872.2
2023,3,412.77848,"445,858",-0.07384,471702.6738,532239277.6
2024,4,412.70463,"445,858",-0.07384,471702.3778,506280663.4
2025,5,412.63079,"445,858",-0.07384,471702.1808,481588114.6
2026,6,412.55695,"445,858",-0.07384,471700.6956,458099881.3
2027,7,412.48312,"445,858",-0.07384,471701.6791,435757227.9
2028,8,412.40928,"445,858",-0.07384,471700.1431,414504279.3
2029,9,412.33544,"445,858",-0.07384,471702.1057,394287890.6
2030,10,412.2616,"445,857",-0.07383,471697.7826,375057502.1
2031,11,412.18777,"445,858",-0.07384,471701.4869,356765030
2032,12,412.11393,"445,857",-0.07383,471698.3957,339364724.1
2033,13,412.0401,"445,857",-0.07383,471698.4601,322813074.9
2034,14,411.96627,"445,858",-0.07383,471699.7712,307068690.6
2035,15,411.89244,"445,857",-0.07383,471697.7331,292092197.4
2036,16,411.81861,"445,857",-0.07383,471697.9519,277846145.2
2037,17,411.74477,"445,857",-0.07383,471698.6118,264294908
2038,18,411.67094,"445,857",-0.07383,471697.0936,251404597.3
2039,19,411.59711,"445,857",-0.07383,471696.9348,239142978.9
2040,20,411.52328,"445,857",-0.07383,471698.1116,227479390.1
2041,21,411.44945,"445,857",-0.07383,471697.2514,216384662.6
2042,22,411.37562,"445,856",-0.07383,471695.6993,205831052
2043,23,411.3018,"445,857",-0.07383,471696.28,195792167.3
2044,24,411.22797,"445,857",-0.07383,471698.6579,186242904
2045,25,411.15414,"445,858",-0.07383,471699.523,177159381.3
2046,26,411.0803,"445,857",-0.07383,471697.463,168518883.8
2047,27,411.00647,"445,856",-0.07382,471694.9315,160299804.4
2048,28,410.93265,"445,856",-0.07382,471694.997,152481590.2
2049,29,410.85882,"445,857",-0.07383,471697.693,145044689.8
2050,30,410.78499,"445,858",-0.07384,471700.1735,137970505.1
2051,31,410.71116,"445,858",-0.07384,471699.9468,131241345.4
2052,32,410.63732,"445,857",-0.07383,471697.2968,124840383.1
2053,33,410.56349,"445,856",-0.07382,471694.7331,118751611.4
2054,34,410.48967,"445,856",-0.07382,471694.5763,112959804.3
2055,35,410.41584,"445,857",-0.07383,471697.08,107450478.1
2056,36,410.34201,"445,858",-0.07384,471700.494,102209855.3
2057,37,410.26818,"445,858",-0.07384,471702.6448,97224830.33
2058,38,410.19434,"445,858",-0.07384,471702.4982,92482937.05
2059,39,410.1205,"445,858",-0.07384,471700.6954,87972317.4
2060,40,410.04666,"445,857",-0.07383,471698.8638,83681691.73
2061,41,409.97283,"445,857",-0.07383,471698.4517,79600330.52
2062,42,409.89899,"445,858",-0.07384,471699.8902,75718027.42
2063,43,409.82516,"445,858",-0.07384,471702.4848,72025073.83
2064,44,409.75132,"445,859",-0.07385,471704.9836,68512234.6
2065,45,409.67747,"445,859",-0.07385,471706.3405,65170725.06
2066,46,409.60362,"445,859",-0.07385,471706.2435,61992189.06
2067,47,409.52978,"445,859",-0.07385,471705.1777,58968677.99
2068,48,409.45593,"445,859",-0.07384,471704.1116,56092630.98
2069,49,409.38209,"445,859",-0.07384,471703.9605,53356855.87
2070,50,409.30824,"445,859",-0.07385,471705.1758,50754511.28
2071,51,409.2344,"445,860",-0.07385,471707.5848,48279089.46
2072,52,409.16055,"445,861",-0.07386,471710.5171,45924400.03
2073,53,409.08669,"445,861",-0.07386,471713.104,43684554.55
2074,54,409.01283,"445,862",-0.07387,471714.6729,41553951.78
2075,55,408.93896,"445,862",-0.07387,471714.9898,39527263.68
2076,56,408.86509,"445,862",-0.07387,471714.3477,37599422.11
2077,57,408.79123,"445,861",-0.07386,471713.4585,35765606.09
2078,58,408.71736,"445,861",-0.07386,471713.2043,34021229.79
2079,59,408.6435,"445,862",-0.07387,471714.3459,32361931.03
2080,60,408.56964,"445,862",-0.07387,471717.2643,30783560.38
2081,61,408.49577,"445,864",-0.07388,471721.825,29282170.75
2082,62,408.42188,"445,865",-0.07389,471727.4197,27854007.58
2083,63,408.34799,"445,867",-0.0739,471733.0825,26495499.4
2084,64,408.27409,"445,868",-0.07391,471737.7455,25203248.97
2085,65,408.20017,"445,869",-0.07392,471740.5369,23974024.73
2086,66,408.12625,"445,869",-0.07392,471741.0012,22804752.73
2087,67,408.05233,"445,868",-0.07392,471739.2807,21692508.98
2088,68,407.97842,"445,867",-0.07391,471736.1374,20634512.07
2089,69,407.90451,"445,867",-0.0739,471732.87,19628116.27
2090,70,407.8306,"445,866",-0.0739,471731.077,18670804.88
2091,71,407.7567,"445,866",-0.0739,471732.3291,17760183.95
2092,72,407.6828,"445,868",-0.07391,471737.796,16893976.26
2093,73,407.60889,"445,871",-0.07393,471747.8413,16070015.66
2094,74,407.53495,"445,874",-0.07396,471761.6515,15286241.63
2095,75,407.46099,"445,879",-0.074,471776.909,14540694.14
2096,76,407.38699,"445,882",-0.07402,471789.5862,13831508.79
2097,77,407.31297,"445,883",-0.07403,471793.8216,13156912.14
2098,78,407.23894,"445,880",-0.07401,471781.9442,12515217.22
2099,79,407.16494,"445,870",-0.07393,471744.5578,11904819.25
2100,80,407.09101,"426,711",0.07255,401318.4548,11071564.08
